timestamp,app_name,package,usage_time,total_screen_time,fuzzy_level
2025-11-05T18:54:14.946118,YouTube,com.google.android.youtube,0 jam 19 menit 30 detik,13 jam 15 menit 1 detik,High
2025-11-05T18:54:14.946118,Facebook,com.facebook.katana,0 jam 18 menit 4 detik,13 jam 15 menit 1 detik,High
2025-11-05T18:54:14.946118,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,0 jam 17 menit 7 detik,13 jam 15 menit 1 detik,High
2025-11-05T18:54:14.946118,Gallery,com.miui.gallery,0 jam 9 menit 49 detik,13 jam 15 menit 1 detik,High
2025-11-05T19:09:37.766517,TikTok,com.ss.android.ugc.trill,6 jam 52 menit 23 detik,13 jam 31 menit 29 detik,High
2025-11-05T19:09:37.766517,WhatsApp,com.whatsapp,1 jam 18 menit 51 detik,13 jam 31 menit 29 detik,High
2025-11-05T19:09:37.766517,Twitter,com.twitter.android,1 jam 10 menit 59 detik,13 jam 31 menit 29 detik,High
2025-11-05T19:09:37.766517,Instagram,com.instagram.android,1 jam 4 menit 14 detik,13 jam 31 menit 29 detik,High
2025-11-05T19:09:37.766517,System launcher,com.miui.home,1 jam 2 menit 41 detik,13 jam 31 menit 29 detik,High
2025-11-05T19:09:37.766517,com.openai.chatgpt,com.openai.chatgpt,0 jam 28 menit 22 detik,13 jam 31 menit 29 detik,High
2025-11-05T19:09:37.766517,YouTube,com.google.android.youtube,0 jam 19 menit 30 detik,13 jam 31 menit 29 detik,High
2025-11-05T19:09:37.766517,Facebook,com.facebook.katana,0 jam 18 menit 4 detik,13 jam 31 menit 29 detik,High
2025-11-05T19:09:37.766517,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,0 jam 17 menit 29 detik,13 jam 31 menit 29 detik,High
2025-11-05T19:09:37.766517,Gallery,com.miui.gallery,0 jam 9 menit 49 detik,13 jam 31 menit 29 detik,High
2025-11-05T19:24:38.908807,TikTok,com.ss.android.ugc.trill,6 jam 58 menit 39 detik,13 jam 37 menit 59 detik,High
2025-11-05T19:24:38.908807,WhatsApp,com.whatsapp,1 jam 18 menit 51 detik,13 jam 37 menit 59 detik,High
2025-11-05T19:24:38.908807,Twitter,com.twitter.android,1 jam 10 menit 59 detik,13 jam 37 menit 59 detik,High
2025-11-05T19:24:38.908807,Instagram,com.instagram.android,1 jam 4 menit 14 detik,13 jam 37 menit 59 detik,High
2025-11-05T19:24:38.908807,System launcher,com.miui.home,1 jam 2 menit 45 detik,13 jam 37 menit 59 detik,High
2025-11-05T19:24:38.908807,com.openai.chatgpt,com.openai.chatgpt,0 jam 28 menit 22 detik,13 jam 37 menit 59 detik,High
2025-11-05T19:24:38.908807,YouTube,com.google.android.youtube,0 jam 19 menit 40 detik,13 jam 37 menit 59 detik,High
2025-11-05T19:24:38.908807,Facebook,com.facebook.katana,0 jam 18 menit 4 detik,13 jam 37 menit 59 detik,High
2025-11-05T19:24:38.908807,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,0 jam 17 menit 29 detik,13 jam 37 menit 59 detik,High
2025-11-05T19:24:38.908807,Gallery,com.miui.gallery,0 jam 9 menit 49 detik,13 jam 37 menit 59 detik,High
2025-11-05T19:39:59.093067,TikTok,com.ss.android.ugc.trill,6 jam 59 menit 8 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:39:59.093067,WhatsApp,com.whatsapp,1 jam 19 menit 18 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:39:59.093067,Twitter,com.twitter.android,1 jam 10 menit 59 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:39:59.093067,Instagram,com.instagram.android,1 jam 8 menit 42 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:39:59.093067,System launcher,com.miui.home,1 jam 2 menit 48 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:39:59.093067,com.openai.chatgpt,com.openai.chatgpt,0 jam 28 menit 22 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:39:59.093067,YouTube,com.google.android.youtube,0 jam 19 menit 40 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:39:59.093067,Facebook,com.facebook.katana,0 jam 18 menit 4 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:39:59.093067,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,0 jam 17 menit 29 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:39:59.093067,Gallery,com.miui.gallery,0 jam 9 menit 49 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:55:38.761800,TikTok,com.ss.android.ugc.trill,6 jam 59 menit 8 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:55:38.761800,WhatsApp,com.whatsapp,1 jam 19 menit 18 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:55:38.761800,Twitter,com.twitter.android,1 jam 10 menit 59 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:55:38.761800,Instagram,com.instagram.android,1 jam 8 menit 42 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:55:38.761800,System launcher,com.miui.home,1 jam 2 menit 48 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:55:38.761800,com.openai.chatgpt,com.openai.chatgpt,0 jam 28 menit 22 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:55:38.761800,YouTube,com.google.android.youtube,0 jam 19 menit 40 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:55:38.761800,Facebook,com.facebook.katana,0 jam 18 menit 4 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:55:38.761800,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,0 jam 17 menit 29 detik,13 jam 43 menit 26 detik,High
2025-11-05T19:55:38.761800,Gallery,com.miui.gallery,0 jam 9 menit 49 detik,13 jam 43 menit 26 detik,High
2025-11-05T20:10:40.335866,TikTok,com.ss.android.ugc.trill,7 jam 20 menit 37 detik,14 jam 6 menit 30 detik,High
2025-11-05T20:10:40.335866,WhatsApp,com.whatsapp,1 jam 20 menit 52 detik,14 jam 6 menit 30 detik,High
2025-11-05T20:10:40.335866,Twitter,com.twitter.android,1 jam 10 menit 59 detik,14 jam 6 menit 30 detik,High
2025-11-05T20:10:40.335866,Instagram,com.instagram.android,1 jam 8 menit 42 detik,14 jam 6 menit 30 detik,High
2025-11-05T20:10:40.335866,System launcher,com.miui.home,1 jam 2 menit 49 detik,14 jam 6 menit 30 detik,High
2025-11-05T20:10:40.335866,com.openai.chatgpt,com.openai.chatgpt,0 jam 28 menit 22 detik,14 jam 6 menit 30 detik,High
2025-11-05T20:10:40.335866,YouTube,com.google.android.youtube,0 jam 19 menit 40 detik,14 jam 6 menit 30 detik,High
2025-11-05T20:10:40.335866,Facebook,com.facebook.katana,0 jam 18 menit 4 detik,14 jam 6 menit 30 detik,High
2025-11-05T20:10:40.335866,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,0 jam 17 menit 29 detik,14 jam 6 menit 30 detik,High
2025-11-05T20:10:40.335866,Gallery,com.miui.gallery,0 jam 9 menit 49 detik,14 jam 6 menit 30 detik,High
2025-11-05T20:26:31.693090,TikTok,com.ss.android.ugc.trill,7 jam 44 menit 50 detik,14 jam 30 menit 46 detik,High
2025-11-05T20:26:31.693090,WhatsApp,com.whatsapp,1 jam 20 menit 54 detik,14 jam 30 menit 46 detik,High
2025-11-05T20:26:31.693090,Twitter,com.twitter.android,1 jam 10 menit 59 detik,14 jam 30 menit 46 detik,High
2025-11-05T20:26:31.693090,Instagram,com.instagram.android,1 jam 8 menit 42 detik,14 jam 30 menit 46 detik,High
2025-11-05T20:26:31.693090,System launcher,com.miui.home,1 jam 2 menit 50 detik,14 jam 30 menit 46 detik,High
2025-11-05T20:26:31.693090,com.openai.chatgpt,com.openai.chatgpt,0 jam 28 menit 22 detik,14 jam 30 menit 46 detik,High
2025-11-05T20:26:31.693090,YouTube,com.google.android.youtube,0 jam 19 menit 40 detik,14 jam 30 menit 46 detik,High
2025-11-05T20:26:31.693090,Facebook,com.facebook.katana,0 jam 18 menit 4 detik,14 jam 30 menit 46 detik,High
2025-11-05T20:26:31.693090,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,0 jam 17 menit 29 detik,14 jam 30 menit 46 detik,High
2025-11-05T20:26:31.693090,Gallery,com.miui.gallery,0 jam 9 menit 49 detik,14 jam 30 menit 46 detik,High
